"Name","Gross Export","Share","Code","Sector"
"Prepared pigments","36527","0.00008662472482153621","3207","Chemicals"
"Paints and varnishes, nonaqueous","10446860","0.024774998569527026","3208","Chemicals"
"Paints and varnishes, aqueous","3276224","0.007769649915232914","3209","Chemicals"
"Other paints and varnishes","54200","0.00012853670121628556","3210","Chemicals"
"Prepared driers","12986","0.000030796634723149156","3211","Chemicals"
"Pigments, nonaqueous","472812","0.0011212858814663173","3212","Chemicals"
"Glaziers' putty","2369078","0.005618329724060431","3214","Chemicals"
"Ink","302850","0.0007182166044898908","3215","Chemicals"
"Essential oils","36930432","0.08758147423934227","3301","Chemicals"
"Mixtures of odoriferous subtances","1701993","0.004036320400612721","3302","Chemicals"
"Perfumes","10759121","0.02551553360381667","3303","Chemicals"
"Make-up preparations","16787500","0.03981199025218439","3304","Chemicals"
"Hair products","9730657","0.02307650463924645","3305","Chemicals"
"Dental hygiene products","711767","0.001687973841598006","3306","Chemicals"
"Toiletries","6645003","0.015758796405762384","3307","Chemicals"
"Soap","11760889","0.027891252314223236","3401","Chemicals"
"Cleaning products","4776236","0.01132696715259164","3402","Chemicals"
"Lubricants","379652","0.0009003545330288791","3403","Chemicals"
"Artificial and prepared waxes","54358","0.000128911402301012","3404","Chemicals"
"Polishes and creams","105981","0.00025133668139489223","3405","Chemicals"
"Candles","350855","0.0008320617030487061","3406","Chemicals"
"Modeling pastes","137191","0.0003253520032576279","3407","Chemicals"
"Gelatin","14642","0.000034723881535218696","3503","Chemicals"
"Dextrins and other modified starches","146793","0.00034812339449524364","3505","Chemicals"
"Glues and adhesives","909080","0.002155906722171603","3506","Chemicals"
"Enzymes","141675","0.0003359859251811302","3507","Chemicals"
"Prepared explosives, except gunpowder","2977942","0.007062266440838152","3602","Chemicals"
"Detonators","434098","0.0010294746296049286","3603","Chemicals"
"Fireworks","10158","0.0000240899596117164","3604","Chemicals"
"Photographic plates","233019","0.0005526105826700673","3701","Chemicals"
"Chemical preparations for photographic uses","11910","0.00002824487290564504","3707","Chemicals"
"Artificial graphite","12957","0.00003072786047342088","3801","Chemicals"
"Activated carbon","374892","0.0008890660699700317","3802","Chemicals"
"Rosin and resin acids","27762","0.00006583830072262951","3806","Chemicals"
"Wood tar and oils","55542","0.0001317192889106076","3807","Chemicals"
"Insecticides, rodenticides, fungicides, etc.","2693635","0.006388025040234859","3808","Chemicals"
"Finishing agents","97737","0.0002317858222652417","3809","Chemicals"
"Pickling preparations for metal surfaces","21800","0.0000516992635888381","3810","Chemicals"
"Anti-knock","86310","0.00020468639634645033","3811","Chemicals"
"Stabilizers for rubber or plastic","357508","0.0008478394645467124","3812","Chemicals"
"Preparations for fire extinguishers","1138","0.000002698796420371457","3813","Chemicals"
"Organic composite solvents and thinners","566669","0.001343870183423087","3814","Chemicals"
"Catalytic preparations","77611","0.00018405649295382174","3815","Chemicals"
"Refractory cements","60851","0.0001443097196625866","3816","Chemicals"
"Hydraulic fluids","323338","0.0007668044261599879","3819","Chemicals"
"Antifreezing preparation","961711","0.002280722499325004","3820","Chemicals"
"Prepared culture media for micro-organisms","67470","0.00016000684928160123","3821","Chemicals"
"Diagnostic or laboratory reagents","387005","0.0009177923626237748","3822","Chemicals"
"Industrial monocarboxylic fatty acids","11277058","0.02674383458938603","3823","Chemicals"
"Polymers of ethylene","3452169","0.00818690803138604","3901","Chemicals"
"Polymers of propylene","2000020","0.004743099135915045","3902","Chemicals"
"Polymers of styrene","826035","0.0019589633577342144","3903","Chemicals"
"Polymers of vinyl chloride","2187693","0.005188170507268624","3904","Chemicals"
"Polymers of vinyl acetate","4125776","0.009784384446445051","3905","Chemicals"
"Acrylic polymers","1303352","0.003090932963166941","3906","Chemicals"
"Polyacetals","26160270","0.062039756618585955","3907","Chemicals"
"Polyamides","548508","0.0013008009024122206","3908","Chemicals"
"Amino-resins","2613464","0.006197897441098128","3909","Chemicals"
"Silicones in primary forms","75223","0.00017839328921757653","3910","Chemicals"
"Petroleum resins","40765","0.00009667525138527455","3911","Chemicals"
"Cellulose n.e.c.","25083","0.000059484982963248905","3912","Chemicals"
"Natural polymers","8747","0.000020743736633558115","3913","Chemicals"
"Plastic waste","1253875","0.002973596978552953","3915","Chemicals"
"Monofilament","4370302","0.010364284177102124","3916","Chemicals"
"Plastic tubes and fittings","41856720","0.0992642935891831","3917","Chemicals"
"Plastic floor coverings","234484","0.0005560848680442712","3918","Chemicals"
"Self-adhesive plastic sheets","1117480","0.0026501327098740735","3919","Chemicals"
"Other plates of plastics, noncellular and not reinforced","9929850","0.02354889598842312","3920","Chemicals"
"Other plastic plates, sheets etc.","16724823","0.03966335012631477","3921","Chemicals"
"Baths, sinks etc.","615206","0.0014589769337355382","3922","Chemicals"
"Packing lids","24357258","0.05776386704785943","3923","Chemicals"
"Plastic household articles","9033505","0.02142319064798564","3924","Chemicals"
"Plastic builders' ware","1050078","0.002490287124350456","3925","Chemicals"
"Other articles of plastic","93402480","0.22150639602620087","3926","Chemicals"
"Natural rubber","152130","0.0003607802279710982","4001","Chemicals"
"Synthetic rubber","223930","0.0005310557841948861","4002","Chemicals"
"Reclaimed rubber","4989","0.00001183154247911529","4003","Chemicals"
"Scrap of rubber","2994","0.000007100348402980793","4004","Chemicals"
"Compounded rubber","199210","0.00047243166511616694","4005","Chemicals"
"Unvulcanized rubber rods","138519","0.00032850138959001214","4006","Chemicals"
"Vulcanized rubber thread and cord","6025","0.000014288443262511448","4007","Chemicals"
"Vulcanized rubber plates","1635115","0.0038777174946359183","4008","Chemicals"
"Vulcanized rubber tubes","12079812","0.02864758645374356","4009","Chemicals"
"Conveyor belts of vulcanized rubber","151520","0.0003593335972009518","4010","Chemicals"
"New pneumatic tires of rubber","1058930","0.0025112798711985473","4011","Chemicals"
"Used pneumatic tires of rubber","8997","0.00002133661809673286","4012","Chemicals"
"Rubber inner tubes","49502","0.00011739527276030569","4013","Chemicals"
"Rubber hygenic or pharmeceutical items","34302","0.00008134807979928095","4014","Chemicals"
"Vulcanized rubber articles of apparel","1287254","0.003052756139990193","4015","Chemicals"
"Other articles of vulcanized rubber","74940256","0.177722754511881","4016","Chemicals"
"Hard rubber","5124","0.000012151698469229653","4017","Chemicals"
"Raw skins of sheep or lambs","1348","0.000003196816849438246","4102","Agriculture"
"Tanned hides of bovines or equines","9847091","0.023352630880379605","4104","Agriculture"
"Tanned sheepskins","7459056","0.01768934414072956","4105","Agriculture"
"Tanned skins of other animals","96677","0.00022927200486138078","4106","Agriculture"
